,msrp,year,canonical_mmty,model,local_zone,interior_color,aff_code,price,price_badge,trim,drivetrain,dealer_name,dealer_zip,mileage,make,bodystyle,cat,vin,canonical_mmt,fuel_type,stock_type,exterior_color,page_channel
452,,2017,Ford:Escape:SE:2017,Escape,,Black,national,10995,,SE,Front-wheel Drive,OKAZ MOTORS,60126,99628,Ford,SUV,crossover_compact,1FMCU0GD4HUD65453,Ford:Escape:SE,Gasoline,Used,Gold,shopping
453,0,2019,Ford:Transit-350:XLT:2019,Transit-350,,Charcoal Black,national,29772,,XLT,Rear-wheel Drive,Old Orchard Nissan,60077,87316,Ford,Cargo Van,van_fullsize,1FBAX2XMXKKA66927,Ford:Transit-350:XLT,Gasoline,Used,Magnetic,shopping
454,55650,2024,Dodge:Durango:GT AWD:2024,Durango,,Black,national,48481,,GT AWD,All-wheel Drive,Castle Chrysler Dodge Jeep Ram of Naperville,60540,0,Dodge,SUV,suv_fullsize,1C4RDJDG9RC173908,Dodge:Durango:GT AWD,Gasoline,New,Frostbite Pearlcoat,shopping
455,77785,2024,Dodge:Durango:SRT 392 AWD:2024,Durango,,Black,national,74868,,SRT 392 AWD,All Wheel Drive,Castle Chrysler Dodge Jeep Ram of Naperville,60540,0,Dodge,SUV,suv_fullsize,1C4SDJGJ7RC175357,Dodge:Durango:SRT 392 AWD,Premium Unleaded,New,DB Black Crystal Clearcoat,shopping
456,59650,2024,Dodge:Durango:GT Premium AWD:2024,Durango,,Black,national,52081,,GT Premium AWD,All-wheel Drive,Castle Chrysler Dodge Jeep Ram of Naperville,60540,12,Dodge,SUV,suv_fullsize,1C4RDJDG0RC140005,Dodge:Durango:GT Premium AWD,Gasoline,New,Vapor Gray,shopping
457,59650,2024,Dodge:Durango:GT Premium AWD:2024,Durango,,Black,national,52081,,GT Premium AWD,All-wheel Drive,Castle Chrysler Dodge Jeep Ram of Naperville,60540,9,Dodge,SUV,suv_fullsize,1C4RDJDG8RC127020,Dodge:Durango:GT Premium AWD,Gasoline,New,Frostbite Pearlcoat,shopping
458,55650,2024,Dodge:Durango:GT AWD:2024,Durango,,Black,national,48481,,GT AWD,All-wheel Drive,Castle Chrysler Dodge Jeep Ram of Naperville,60540,0,Dodge,SUV,suv_fullsize,1C4RDJDG0RC173909,Dodge:Durango:GT AWD,Gasoline,New,Night Moves,shopping
459,0,1984,Volkswagen:Rabbit:Base:1984,Rabbit,,RED,national,11950,,Base,Front-wheel Drive,Zone Motors,60101,133504,Volkswagen,Hatchback,wagonhatchback_hatchback,1VWDC0173EV095360,Volkswagen:Rabbit:Base,Gasoline,Used,Blue,shopping
460,58485,2024,Alfa Romeo:Tonale:Veloce:2024,Tonale,,Black,national,50985,,Veloce,All-wheel Drive,Glenview Luxury Imports,60025,24,Alfa Romeo,SUV,hybrid_suv,ZASPATDW2R3057313,Alfa Romeo:Tonale:Veloce,Hybrid,New,Alfa Black,shopping
461,,2019,Chevrolet:Blazer:2LT:2019,Blazer,,Jet Black,national,22991,,2LT,All-wheel Drive,Thomas Dodge Chrysler Jeep RAM of Highland,46322,76266,Chevrolet,SUV,crossover_midsize,3GNKBGRS8KS574798,Chevrolet:Blazer:2LT,Gasoline,Used,Oakwood Metallc,shopping
462,76015,2024,Ford:Expedition Max:XLT:2024,Expedition Max,,Black Onyx,national,76015,,XLT,Four-wheel Drive,Al Piemonte Ford,60160,,Ford,SUV,suv_fullsize,1FMJK1J80REA00410,Ford:Expedition Max:XLT,Gasoline,New,Star White,shopping
463,115460,2024,Mercedes-Benz:AMG EQE:Base:2024,AMG EQE,,Gray,national,115460,,Base,All-wheel Drive,Knauz Auto Park,60044,8,Mercedes-Benz,SUV,ev_luxurypassenger_plus,4JGGM5DB4RA040953,Mercedes-Benz:AMG EQE:Base,Electric,New,Alpine,shopping
464,0,2021,RAM:ProMaster 2500:High Roof:2021,ProMaster 2500,,Black,national,32595,,High Roof,Front-wheel Drive,Zeigler Chrysler Dodge Jeep Ram of Schaumburg,60195,48407,RAM,Cargo Van,van_fullsize,3C6LRVCG9ME540489,RAM:ProMaster 2500:High Roof,Gasoline,Used,Bright White Clearcoat,shopping
465,,2015,Nissan:Altima:2.5 SV:2015,Altima,,Charcoal,national,10000,,2.5 SV,Front-wheel Drive,Thomas Kia of Highland,46322,127742,Nissan,Sedan,sedan_midsize,1N4AL3AP7FC480740,Nissan:Altima:2.5 SV,Gasoline,Used,Brilliant Silver,shopping
466,,2021,Jeep:Grand Cherokee:Limited:2021,Grand Cherokee,,Black,national,33998,,Limited,Four-wheel Drive,CarMax Oak Lawn - Offering Express Pickup and Home Delivery,60453,39648,Jeep,SUV,suv_midsize,1C4RJFBG2MC581877,Jeep:Grand Cherokee:Limited,Gasoline,Used,Black,shopping
467,,2022,Ford:Escape:S:2022,Escape,,Dark Earth Gray,national,21901,,S,All-wheel Drive,Fox Ford of Chicago,60647,9055,Ford,SUV,crossover_compact,1FMCU9F66NUA05443,Ford:Escape:S,Gasoline,Used,Agate Black Metallic,shopping
468,,2017,Genesis:G80:3.8:2017,G80,,Black,national,13824,,3.8,All-wheel Drive,Napleton&#39;s Countryside Mazda,60525,138421,Genesis,Sedan,luxurypassenger_standard,KMHGN4JE3HU193925,Genesis:G80:3.8,Gasoline,Used,Caspian Black,shopping
469,26605,2024,Chevrolet:Trailblazer:LT:2024,Trailblazer,,Jet Black,national,25146,,LT,Front-wheel Drive,Golf Mill Chevrolet,60714,10,Chevrolet,SUV,suv_midsize,KL79MPSL1RB150726,Chevrolet:Trailblazer:LT,Gasoline,New,MOSAIC BLACK,shopping
470,54785,2024,RAM:ProMaster 2500:High Roof:2024,ProMaster 2500,,Black,national,54785,,High Roof,Front-wheel Drive,South Oak Dodge Chrysler Jeep RAM,60443,10,RAM,Cargo Van,van_fullsize,3C6LRVDG3RE113363,RAM:ProMaster 2500:High Roof,Gasoline,New,Bright White Clearcoat,shopping
471,,2023,BMW:430 Gran Coupe:i xDrive:2023,430 Gran Coupe,,Mocha,national,46995,,i xDrive,All-wheel Drive,Knauz Auto Park,60044,12460,BMW,Hatchback,luxurypassenger_standard,WBA73AV01PFN93229,BMW:430 Gran Coupe:i xDrive,Gasoline,Used,Blue Metallic,shopping
472,0,2019,Hyundai:Sonata:SE:2019,Sonata,,Black,national,16780,,SE,Front-wheel Drive,Bettenhausen Fiat,60462,51469,Hyundai,Sedan,sedan_midsize,5NPE24AF5KH743091,Hyundai:Sonata:SE,Gasoline,Used,Phantom Black,shopping
473,50195,2024,Chevrolet:Blazer EV:2LT:2024,Blazer EV,,Black,national,42695,,2LT,All-wheel Drive,Webb Chevy,60453,7,Chevrolet,SUV,ev_crossover_midsize,3GNKDBRJ2RS216305,Chevrolet:Blazer EV:2LT,Electric,New,Sterling Gray Metallic,shopping
474,,2018,Honda:Accord:EX:2018,Accord,,,national,19466,,EX,Front-wheel Drive,Titan Auto Sales,60482,72076,Honda,Sedan,sedan_midsize,1HGCV1F42JA090523,Honda:Accord:EX,Gasoline,Used,Platinum White Pearl,shopping
475,67550,2024,Jeep:Wrangler:Rubicon:2024,Wrangler,,Black,national,66550,,Rubicon,Four-wheel Drive,Fields Chrysler Jeep Dodge RAM,60026,14,Jeep,SUV,suv_midsize,1C4PJXFG9RW278348,Jeep:Wrangler:Rubicon,Gasoline,New,Anvil Clearcoat,shopping
476,51695,2024,Chevrolet:Blazer EV:2LT:2024,Blazer EV,,Black,national,51695,,2LT,AWD,Advantage Chevrolet of Bolingbrook,60440,11,Chevrolet,SUV,ev_crossover_midsize,3GNKDBRJ8RS228006,Chevrolet:Blazer EV:2LT,Electric,New,Rip Tide Blue,shopping
477,0,2022,Hyundai:Veloster N:Base:2022,Veloster N,,Black,national,24777,,Base,Front-wheel Drive,Napleton Downtown Chevrolet Buick GMC,60616,39700,Hyundai,Hatchback,wagonhatchback_hatchback,KMHT36AH0NU011801,Hyundai:Veloster N:Base,Gasoline,Used,Racing Red,shopping
478,32475,2024,Chevrolet:Trailblazer:ACTIV:2024,Trailblazer,,Jet Black,national,31501,,ACTIV,Front-wheel Drive,Castle Chevrolet of Villa Park,60181,5,Chevrolet,SUV,suv_midsize,KL79MVSL2RB161173,Chevrolet:Trailblazer:ACTIV,Gasoline,New,Summit White,shopping
479,32475,2024,Chevrolet:Trailblazer:ACTIV:2024,Trailblazer,,Jet Black,national,31501,,ACTIV,Front-wheel Drive,Castle Chevrolet of Villa Park,60181,5,Chevrolet,SUV,suv_midsize,KL79MVSLXRB159039,Chevrolet:Trailblazer:ACTIV,Gasoline,New,Green,shopping
480,27375,2024,Chevrolet:Trailblazer:LT:2024,Trailblazer,,Black,national,26554,,LT,Front-wheel Drive,Castle Chevrolet of Villa Park,60181,5,Chevrolet,SUV,suv_midsize,KL79MPSL5RB164922,Chevrolet:Trailblazer:LT,Gasoline,New,Fountain Blue,shopping
481,,2015,Subaru:Outback:2.5i Limited:2015,Outback,,Black,national,17494,,2.5i Limited,All-wheel Drive,Muller Honda,60035,61898,Subaru,SUV,crossover_midsize,4S4BSBJC3F3215172,Subaru:Outback:2.5i Limited,Gasoline,Used,Venetian Red Pearl,shopping
482,18755,2019,Chevrolet:Equinox:Premier w/1LZ:2019,Equinox,,Jet Black,national,18755,,Premier w/1LZ,All-wheel Drive,Hertz Car Sales Des Plaines,60018,73742,Chevrolet,SUV,crossover_midsize,2GNAXXEV6K6240555,Chevrolet:Equinox:Premier w/1LZ,Gasoline,Used,Summit White,shopping
483,0,2020,Chevrolet:Equinox:1LT:2020,Equinox,,Black Cloth,national,19850,,1LT,Front-wheel Drive,Windy City Motors,60639,59039,Chevrolet,SUV,crossover_midsize,2GNAXKEV2L6196168,Chevrolet:Equinox:1LT,Gasoline,Used,Mosaic Black Metallic,shopping
484,,2021,Chevrolet:Equinox:1LT:2021,Equinox,,Jet Black,national,21777,,1LT,All-wheel Drive,Castle Chevrolet North,60007,29015,Chevrolet,SUV,crossover_midsize,3GNAXUEV6ML324243,Chevrolet:Equinox:1LT,Gasoline,Used,Mosaic Black Metallic,shopping
485,0,2014,RAM:ProMaster 2500:2500 High Roof 136&#39; WB:2014,ProMaster 2500,,BLACK,national,20995,,2500 High Roof 136&#39; WB,Front-wheel Drive,Conway Imports,60107,91463,RAM,Cargo Van,van_fullsize,3C6TRVCGXEE103165,RAM:ProMaster 2500:2500 High Roof 136&#39; WB,Gasoline,Used,WHITE,shopping
486,28300,2024,Buick:Envista:Sport Touring FWD:2024,Envista,,Ebony w/Santorini Blue Stitching,national,28300,,Sport Touring FWD,Front-wheel Drive,Napleton Downtown Chevrolet Buick GMC,60616,12,Buick,SUV,suv_midsize,KL47LBE27RB112334,Buick:Envista:Sport Touring FWD,Gasoline,New,Sunrise Red Metallic,shopping
487,34555,2021,Ford:Bronco Sport:Outer Banks:2021,Bronco Sport,,,national,27342,,Outer Banks,Four-wheel Drive,Guaranteed Motor Cars,60465,37430,Ford,SUV,crossover_compact,3FMCR9C64MRA02665,Ford:Bronco Sport:Outer Banks,Gasoline,Used,Area 51,shopping
488,63090,2024,RAM:ProMaster 2500:High Roof:2024,ProMaster 2500,,Black,national,61828,,High Roof,Front-wheel Drive,Berman Chrysler Dodge Jeep Ram,60453,25,RAM,Cargo Van,van_fullsize,3C6LRVDGXRE119368,RAM:ProMaster 2500:High Roof,Gasoline,New,Bright Silver Clearcoat Metallic,shopping
489,,2023,Buick:Envision:Preferred:2023,Envision,,Ebony,national,34498,,Preferred,All-wheel Drive,Bill Kay Buick GMC,60515,5,Buick,SUV,luxurysuv_crossover,LRBFZMR46PD231385,Buick:Envision:Preferred,Gasoline,New,Summit White,shopping
490,,2023,Buick:Envision:Essence:2023,Envision,,Ebony,national,38776,,Essence,All-wheel Drive,Bill Kay Buick GMC,60515,3,Buick,SUV,luxurysuv_crossover,LRBFZPR46PD179709,Buick:Envision:Essence,Gasoline,New,Summit White,shopping
491,,2023,Buick:Envision:Essence:2023,Envision,,Ebony,national,39035,,Essence,All-wheel Drive,Bill Kay Buick GMC,60515,4,Buick,SUV,luxurysuv_crossover,LRBFZPR46PD180293,Buick:Envision:Essence,Gasoline,New,Ebony Twilight Metallic,shopping
492,50195,2024,Chevrolet:Blazer EV:2LT:2024,Blazer EV,,Black,national,42695,,2LT,All-wheel Drive,Webb Chevy,60453,12,Chevrolet,SUV,ev_crossover_midsize,3GNKDBRJ8RS216308,Chevrolet:Blazer EV:2LT,Electric,New,Summit White,shopping
493,54595,2024,Chevrolet:Blazer EV:RS:2024,Blazer EV,,Black,national,47095,,RS,All-wheel Drive,Apple Chevrolet,60487,10,Chevrolet,SUV,ev_crossover_midsize,3GNKDCRJ1RS173307,Chevrolet:Blazer EV:RS,Electric,New,Black,shopping
494,51695,2024,Chevrolet:Blazer EV:2LT:2024,Blazer EV,,Black,national,44195,,2LT,All-wheel Drive,Apple Chevrolet,60487,10,Chevrolet,SUV,ev_crossover_midsize,3GNKDBRJ3RS201456,Chevrolet:Blazer EV:2LT,Electric,New,Galaxy Gray Metallic,shopping
495,54595,2024,Chevrolet:Blazer EV:RS:2024,Blazer EV,,Black,national,47095,,RS,All-wheel Drive,Advantage Chevrolet,60525,10,Chevrolet,SUV,ev_crossover_midsize,3GNKDCRJ6RS223912,Chevrolet:Blazer EV:RS,Electric,New,Galaxy Gray Metallic,shopping
496,,2020,Chevrolet:Equinox:1LT:2020,Equinox,,Jet Black,national,19577,,1LT,Front-wheel Drive,Castle Chevrolet North,60007,31288,Chevrolet,SUV,crossover_midsize,3GNAXKEV6LL253242,Chevrolet:Equinox:1LT,Gasoline,Used,Cajun Red Tintcoat,shopping
497,51695,2024,Chevrolet:Blazer EV:2LT:2024,Blazer EV,,Black,national,44195,,2LT,All-wheel Drive,Advantage Chevrolet of Bolingbrook,60440,14,Chevrolet,SUV,ev_crossover_midsize,3GNKDBRJ3RS195397,Chevrolet:Blazer EV:2LT,Electric,New,Sterling Gray Metallic,shopping
498,0,2005,Ford:Explorer Sport Trac:XLT:2005,Explorer Sport Trac,,Gray,national,5600,,XLT,Rear-wheel Drive,Capital Auto Finance,60455,175180,Ford,SUV,truck_compact,1FMZU67K05UB27798,Ford:Explorer Sport Trac:XLT,E85 Flex Fuel,Used,Red,shopping
499,0,2022,Chevrolet:Equinox:1LT:2022,Equinox,,Black Cloth,national,25850,,1LT,All-wheel Drive,Windy City Motors,60639,15543,Chevrolet,SUV,crossover_midsize,3GNAXUEV7NL172264,Chevrolet:Equinox:1LT,Gasoline,Used,Iron Gray Metallic,shopping
500,0,2022,GMC:Yukon:SLT:2022,Yukon,,Jet Black,national,58595,,SLT,Four-wheel Drive,Fair Oaks Ford,60540,39987,GMC,SUV,suv_fullsize,1GKS2BKD4NR155642,GMC:Yukon:SLT,Gasoline,Used,Summit White,shopping
501,77305,2024,Ford:F-350:Lariat Super Duty:2024,F-350,,Baja,national,77305,,Lariat Super Duty,Four-wheel Drive,Arlington Heights Ford,60004,10,Ford,Pickup Truck,truck_fullsize,1FT8W3BN0RED43998,Ford:F-350:Lariat Super Duty,Gasoline,New,Antimatter Blue Metallic,shopping
502,,2008,Volkswagen:Rabbit:S:2008,Rabbit,,Art Gray,national,5975,,S,Front-wheel Drive,Toyota of Lincoln Park,60642,102848,Volkswagen,Hatchback,wagonhatchback_hatchback,WVWDA71K08W124320,Volkswagen:Rabbit:S,Gasoline,Used,Black,shopping
503,0,2015,Ford:F-350:Ext Cab Long Bed:2015,F-350,,Gray,national,18950,,Ext Cab Long Bed,Four-wheel Drive,"Motorsource, Inc",60035,108044,Ford,Pickup Truck,truck_fullsize,1FT8X3B63FEC99318,Ford:F-350:Ext Cab Long Bed,Gasoline,Used,White,shopping
504,,2016,Ford:Edge:Titanium:2016,Edge,,,national,20224,,Titanium,Front-wheel Drive,Volkswagen of Palatine,60074,41803,Ford,SUV,crossover_midsize,2FMPK3K98GBB56412,Ford:Edge:Titanium,Gasoline,Used,Black,shopping
505,22988,2021,Chevrolet:Equinox:1LT:2021,Equinox,,Medium Ash Gray,national,17988,,1LT,All-wheel Drive,Napleton Autowerks River Oaks,60409,49526,Chevrolet,SUV,crossover_midsize,2GNAXUEV3M6133867,Chevrolet:Equinox:1LT,Gasoline,Used,Mosaic Black Metallic,shopping
506,,2018,GMC:Terrain:SLE:2018,Terrain,,Black,national,15774,,SLE,Front-wheel Drive,Titan Auto Sales,60482,81151,GMC,SUV,crossover_midsize,3GKALMEX2JL124479,GMC:Terrain:SLE,Gasoline,Used,Blue Steel Metallic,shopping
507,58745,2023,Kia:EV6:GT-Line:2023,EV6,,Black,national,41955,,GT-Line,All-wheel Drive,Auto&#39;s of Chicago,60515,4931,Kia,SUV,ev_suv_midsize,KNDC4DLCXP5097736,Kia:EV6:GT-Line,Electric,Used,Aurora Black Pearl,shopping
508,0,2017,Chrysler:Pacifica:Touring-L Plus:2017,Pacifica,,Black/Alloy,national,16991,,Touring-L Plus,Front-wheel Drive,Midway Autohaus,60455,115505,Chrysler,Minivan,van_mini,2C4RC1EG6HR531148,Chrysler:Pacifica:Touring-L Plus,Gasoline,Used,RED,shopping
509,31670,2024,Chevrolet:Equinox:LS:2024,Equinox,,Medium Ash Gray,national,27003,,LS,All-wheel Drive,Castle Chevrolet North,60007,5217,Chevrolet,SUV,crossover_midsize,3GNAXSEG5RL146726,Chevrolet:Equinox:LS,Gasoline,Used,Mosaic Black Metallic,shopping
510,,2021,Lexus:UX 200:Base:2021,UX 200,,Caramel,national,29988,,Base,Front-wheel Drive,McGrath Lexus of Westmont,60559,25769,Lexus,SUV,luxurysuv_crossover,JTHX3JBH3M2037731,Lexus:UX 200:Base,Gasoline,Used,Caviar,shopping
511,59260,2024,Jeep:Wrangler:Sport S:2024,Wrangler,,Black,national,48010,,Sport S,Four-wheel Drive,Marino Chrysler Jeep Dodge RAM,60641,0,Jeep,SUV,suv_midsize,1C4RJXN66RW227794,Jeep:Wrangler:Sport S,Gasoline,New,Black Clearcoat,shopping
512,34470,2024,Chevrolet:Trailblazer:RS:2024,Trailblazer,,Jet Black,national,33436,,RS,All-wheel Drive,Castle Chevrolet of Villa Park,60181,5,Chevrolet,SUV,suv_midsize,KL79MUSL7RB158943,Chevrolet:Trailblazer:RS,Gasoline,New,Fountain Blue,shopping
513,,2021,Audi:Q8:55 Prestige:2021,Q8,,Black,national,58800,,55 Prestige,All-wheel Drive,Audi Orland Park,60477,36785,Audi,SUV,luxurysuv_crossover,WA1FVAF11MD017769,Audi:Q8:55 Prestige,Gasoline,Used,Glacier White Metallic,shopping
514,0,2019,Ford:Transit Connect:Base:2019,Transit Connect,,Ebony,national,25900,,Base,Front-wheel Drive,Garber Chevrolet Highland,46322,62387,Ford,Cargo Van,van_fullsize,NM0LS7E29K1386101,Ford:Transit Connect:Base,Gasoline,Used,Frozen White,shopping
515,32475,2024,Chevrolet:Trailblazer:RS:2024,Trailblazer,,Jet Black,national,31501,,RS,Front-wheel Drive,Castle Chevrolet of Villa Park,60181,5,Chevrolet,SUV,suv_midsize,KL79MTSLXRB142648,Chevrolet:Trailblazer:RS,Gasoline,New,Mosaic Black Metallic,shopping
516,0,2019,Maserati:Ghibli:S Q4 GranLusso:2019,Ghibli,,Rosso,national,36895,,S Q4 GranLusso,All-wheel Drive,Jidd Motors Mitsubishi,60016,21532,Maserati,Sedan,luxurypassenger_plus,ZAM57YTLXK1338391,Maserati:Ghibli:S Q4 GranLusso,Gasoline,Used,Bianco,shopping
517,55280,2024,RAM:ProMaster 2500:High Roof:2024,ProMaster 2500,,Black,national,53122,,High Roof,Front-wheel Drive,DuPage CDJR,60139,8,RAM,Cargo Van,van_fullsize,3C6LRVDG0RE114101,RAM:ProMaster 2500:High Roof,Gasoline,New,Bright Silver Clearcoat Metallic,shopping
518,,2021,Honda:HR-V:Sport:2021,HR-V,,Black,national,23855,,Sport,Front-wheel Drive,Packey Webb Ford,60515,21900,Honda,SUV,crossover_compact,3CZRU5H10MM715685,Honda:HR-V:Sport,Gasoline,Used,Modern Steel Metallic,shopping
519,0,2017,Audi:A4:2.0T Premium:2017,A4,,,national,14749,,2.0T Premium,All-wheel Drive,Larry Roesch Volkswagen,60106,87624,Audi,Sedan,luxurypassenger_standard,WAUANAF47HN052470,Audi:A4:2.0T Premium,Gasoline,Used,Brilliant Black,shopping
520,40335,2023,Dodge:Challenger:GT:2023,Challenger,,Black,national,27850,,GT,Rear-wheel Drive,Napleton&#39;s Arlington Heights Chrysler Dodge Jeep RAM,60004,5,Dodge,Coupe,coupeconvertible_coupe,2C3CDZJG4PH637615,Dodge:Challenger:GT,Gasoline,New,B5 Blue Pearlcoat,shopping
521,,2008,Cadillac:XLR:Base:2008,XLR,,Tan,national,29900,,Base,Rear-wheel Drive,B &amp; M Auto Sales,60448,50902,Cadillac,Convertible,luxurypassenger_plus,1G6YV36A185600078,Cadillac:XLR:Base,Gasoline,Used,Crystal Red Metallic,shopping
522,,2021,Chevrolet:Blazer:3LT:2021,Blazer,,Jet Black,national,25500,,3LT,Front-wheel Drive,94 Nissan Of South Holland,60473,58307,Chevrolet,SUV,crossover_midsize,3GNKBDRS1MS549890,Chevrolet:Blazer:3LT,Gasoline,Used,Gray,shopping
523,,2019,Honda:Fit:Sport:2019,Fit,,Black,national,15891,,Sport,Front-wheel Drive,Thomas Dodge Chrysler Jeep RAM of Highland,46322,62876,Honda,Hatchback,wagonhatchback_hatchback,3HGGK5H67KM727345,Honda:Fit:Sport,Gasoline,Used,Lunar Silver Metallic,shopping
524,,2021,Lincoln:Navigator L:Reserve:2021,Navigator L,,,national,38995,,Reserve,Four-wheel Drive,carneed,60062,111975,Lincoln,SUV,luxurysuv_suv,5LMJJ3LT1MEL14282,Lincoln:Navigator L:Reserve,Gasoline,Used,,shopping
525,47525,2024,Jeep:Grand Cherokee:Laredo:2024,Grand Cherokee,,Global Black,national,44198,,Laredo,Four-wheel Drive,Thomas Dodge Chrysler Jeep RAM of Highland,46322,2581,Jeep,SUV,suv_midsize,1C4RJHAG6R8934628,Jeep:Grand Cherokee:Laredo,Gasoline,New,Diamond Black,shopping
526,,2020,Chevrolet:Trax:LS:2020,Trax,,Black,national,19998,,LS,Front-wheel Drive,CarMax Glencoe (Edens Expy) - Offering Express Pickup and Home Delivery,60022,21721,Chevrolet,SUV,crossover_compact,3GNCJKSB3LL281438,Chevrolet:Trax:LS,Gasoline,Used,Silver,shopping
527,8985,2009,Audi:Q5:3.2 Premium Plus:2009,Q5,,Black,national,8985,,3.2 Premium Plus,All-wheel Drive,Luxury Auto Selection,60630,129192,Audi,SUV,luxurysuv_crossover,WA1KK78R99A021655,Audi:Q5:3.2 Premium Plus,Gasoline,Used,Ice Silver Metallic,shopping
528,,2022,Audi:SQ8:4.0T Prestige:2022,SQ8,,Black,national,68888,,4.0T Prestige,All-wheel Drive,Toyota of Lincolnwood,60712,50393,Audi,SUV,luxurysuv_crossover,WA1CWBF14ND002657,Audi:SQ8:4.0T Prestige,Gasoline,Used,Glacier White Metallic,shopping
529,,2023,Buick:Envision:Essence:2023,Envision,,Whisper Beige,national,37090,,Essence,All-wheel Drive,Bill Kay Buick GMC,60515,3,Buick,SUV,luxurysuv_crossover,LRBFZPR49PD180000,Buick:Envision:Essence,Gasoline,New,Moonstone Gray Metallic,shopping
530,0,2018,Mercedes-Benz:AMG GLE 63:Base 4MATIC:2018,AMG GLE 63,,Black w/Grey Stitching,national,38988,,Base 4MATIC,All-wheel Drive,Star Motor Sales,60515,84676,Mercedes-Benz,SUV,luxurysuv_crossover,4JGDA7FB2JB005931,Mercedes-Benz:AMG GLE 63:Base 4MATIC,Gasoline,Used,Black,shopping
531,,2018,Dodge:Grand Caravan:SXT:2018,Grand Caravan,,Black,national,13990,,SXT,Front-wheel Drive,Car City Inc,60074,104746,Dodge,Passenger Van,van_mini,2C4RDGCG1JR266597,Dodge:Grand Caravan:SXT,E85 Flex Fuel,Used,Maroon,shopping
532,23990,2024,Buick:Envista:Preferred FWD:2024,Envista,,Ebony w/Ebony Interior,national,23990,,Preferred FWD,Front-wheel Drive,Al Piemonte Buick GMC,60126,1,Buick,SUV,suv_midsize,KL47LAE28RB112756,Buick:Envista:Preferred FWD,Gasoline,New,Cinnabar Metallic,shopping
533,,2021,Subaru:Legacy:Premium:2021,Legacy,,Black,national,24998,,Premium,All-wheel Drive,CarMax Glencoe (Edens Expy) - Offering Express Pickup and Home Delivery,60022,24063,Subaru,Sedan,sedan_midsize,4S3BWAD64M3009199,Subaru:Legacy:Premium,Gasoline,Used,Crystal Black Silica,shopping
534,27989,2019,Lexus:UX 200:F Sport:2019,UX 200,,Red,national,28980,,F Sport,Front-wheel Drive,"Napleton Cadillac of Northbrook, Rolls-Royce Motor Cars Northbrook, Bentley Northbrook",60062,43067,Lexus,SUV,luxurysuv_crossover,JTHY3JBH3K2001068,Lexus:UX 200:F Sport,Gasoline,Used,Caviar,shopping
535,0,2022,Chevrolet:Trax:LT:2022,Trax,,Black Cloth,national,23850,,LT,All-wheel Drive,Windy City Motors,60639,6950,Chevrolet,SUV,crossover_compact,KL7CJPSM6NB502071,Chevrolet:Trax:LT,Gasoline,Used,Stone Gray Metallic,shopping
536,54595,2024,Chevrolet:Blazer EV:RS:2024,Blazer EV,,Black,national,47095,,RS,All-wheel Drive,Castle Chevrolet North,60007,5,Chevrolet,SUV,ev_crossover_midsize,3GNKDCRJ4RS172927,Chevrolet:Blazer EV:RS,Electric,New,Summit White,shopping
537,54595,2024,Chevrolet:Blazer EV:RS:2024,Blazer EV,,Black,national,47095,,RS,All-wheel Drive,Advantage Chevrolet,60525,10,Chevrolet,SUV,ev_crossover_midsize,3GNKDCRJ0RS190941,Chevrolet:Blazer EV:RS,Electric,New,Black,shopping
538,0,2014,Ford:C-Max Hybrid:SEL:2014,C-Max Hybrid,,Charcoal Black,national,9700,,SEL,Front-wheel Drive,Advance 1 Auto Group,60148,92742,Ford,Hatchback,hybrid_passenger,1FADP5BU8EL507721,Ford:C-Max Hybrid:SEL,Hybrid,Used,Gray,shopping
539,51695,2024,Chevrolet:Blazer EV:2LT:2024,Blazer EV,,Black,national,44195,,2LT,All-wheel Drive,Castle Chevrolet North,60007,5,Chevrolet,SUV,ev_crossover_midsize,3GNKDBRJ9RS212591,Chevrolet:Blazer EV:2LT,Electric,New,Summit White,shopping
540,29415,2024,Chevrolet:Malibu:FWD 1LT:2024,Malibu,,Jet Black,national,26415,,FWD 1LT,Front-wheel Drive,Bill Kay Chevrolet,60532,5,Chevrolet,Sedan,sedan_midsize,1G1ZD5ST1RF128900,Chevrolet:Malibu:FWD 1LT,Gasoline,New,Mosaic Black Metallic,shopping
541,50690,2024,Chevrolet:Blazer EV:2LT:2024,Blazer EV,,Black,national,48690,,2LT,All-wheel Drive,The Chevrolet Exchange,60044,10,Chevrolet,SUV,ev_crossover_midsize,3GNKDBRJ5RS202480,Chevrolet:Blazer EV:2LT,Electric,New,Radiant Red,shopping
542,,2019,Land Rover:Discovery:HSE:2019,Discovery,,Ebony,national,33888,,HSE,Four-wheel Drive,Chicago Auto Place,60515,51225,Land Rover,SUV,luxurysuv_suv,SALRR2RK4KA083600,Land Rover:Discovery:HSE,Diesel,Used,Fuji White,shopping
543,,2016,Lexus:LS 460:Base:2016,LS 460,,Black,national,19600,,Base,Rear-wheel Drive,,,150000,Lexus,Sedan,luxurypassenger_plus,JTHBL5EF7G5139287,Lexus:LS 460:Base,Gasoline,Used,Black,shopping
544,0,2003,Jaguar:XJ:Sport:2003,XJ,,Other,national,7950,,Sport,Rear-wheel Drive,Zone Motors,60101,76299,Jaguar,Sedan,luxurypassenger_plus,SAJDA12C63LF54663,Jaguar:XJ:Sport,Gasoline,Used,BLACK,shopping
